name,normalized_name,description,type,source,source_id,language_hint,romanized,alias_of,confidence
Rajikumar,rajikumar,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q110795410,en_romanized,true,,0.92
Gwelu Os Gar,gwelu os gar,,fictional_character,wikidata_fictional_characters_en,Q110810792,en_romanized,true,,0.92
Luvis Lilix,luvis lilix,fictional character from Is It Wrong to Try to Pick Up Girls in a Dungeon?,fictional_character,wikidata_fictional_characters_en,Q112573641,en_romanized,true,,0.92
Hanabatake Chaika,hanabatake chaika,Japanese VTuber,fictional_character,wikidata_fictional_characters_en,Q114398354,en_romanized,true,,0.92
Linu La'neral,linu la'neral,character in Neverwinter Nights,fictional_character,wikidata_fictional_characters_en,Q114861657,en_romanized,true,,0.92
Lucid,lucid,fictional character from MapleStory,fictional_character,wikidata_fictional_characters_en,Q115686886,en_romanized,true,,0.92
Athena Pierce,athena pierce,fictional character from MapleStory,fictional_character,wikidata_fictional_characters_en,Q116147236,en_romanized,true,,0.92
Ria,ria,fictional character from Farming Life in Another World,fictional_character,wikidata_fictional_characters_en,Q116755797,en_romanized,true,,0.92
Ian Lightfoot,ian lightfoot,character from Onward,fictional_character,wikidata_fictional_characters_en,Q117750740,en_romanized,true,,0.92
Barley Lightfoot,barley lightfoot,character from Onward,fictional_character,wikidata_fictional_characters_en,Q117750930,en_romanized,true,,0.92
Serie,serie,fictional character from Frieren,fictional_character,wikidata_fictional_characters_en,Q122781845,en_romanized,true,,0.92
Elda,elda,fictional character from Otaku Elf,fictional_character,wikidata_fictional_characters_en,Q122841547,en_romanized,true,,0.92
Haira,haira,fictional character from Otaku Elf,fictional_character,wikidata_fictional_characters_en,Q122841628,en_romanized,true,,0.92
Marguerite,marguerite,fictional character from My Daughter Left the Nest and Returned an S-Rank Adventurer,fictional_character,wikidata_fictional_characters_en,Q122884115,en_romanized,true,,0.92
Graham,graham,fictional character from My Daughter Left the Nest and Returned an S-Rank Adventurer,fictional_character,wikidata_fictional_characters_en,Q122884125,en_romanized,true,,0.92
Nephrites,nephrites,fictional character from Tales of Wedding Rings,fictional_character,wikidata_fictional_characters_en,Q122908976,en_romanized,true,,0.92
Kraft,kraft,fictional character from Frieren,fictional_character,wikidata_fictional_characters_en,Q122911619,en_romanized,true,,0.92
Beta,beta,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122920379,en_romanized,true,,0.92
Alpha,alpha,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122920376,en_romanized,true,,0.92
Gamma,gamma,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122920385,en_romanized,true,,0.92
Epsilon,epsilon,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122920404,en_romanized,true,,0.92
Eta,eta,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122920435,en_romanized,true,,0.92
